,GEOID,stateID,countyID,population_size,age2034,age65up,black,hispanic,asian,white,pct_college_degree_higher,pct_college_grad_student,hhincome,pct_male,pct_female,poverty,mean_commute_time,pct_english_only,pct_foreign_born,median_rent
901,25021406102,25,21,6499,4.7,11.9,0,6499,2.5,93.7,76.8,17.4,163304,50.6,49.4,1.2,42,90.4,4,1190
902,25021407100,25,21,8144,5.8,16.8,0.2,8144,1.2,92.7,53.3,22.1,100230,48.7,51.3,4.4,33.6,87.4,7.9,1557
903,25021408101,25,21,8082,4.8,13.8,0.9,8082,4.2,88.9,64.2,23.8,133058,44.6,55.4,5.3,40.2,93.1,6.8,1417
904,25021408102,25,21,5080,8.5,9.2,4,5080,1.4,90.3,50.5,31.3,101938,48.6,51.4,5.2,35.2,91.6,5.6,974
905,25021409101,25,21,6390,4.2,10.6,10.2,6390,0.3,75.9,39,18,131932,68.1,31.9,3.4,39.6,85.6,6.2,1406
906,25021409102,25,21,5281,3.7,13,0,5281,2.6,94,67.1,14.2,141184,50.8,49.2,2.4,40.5,95.6,5.7,1221
907,25021410100,25,21,6560,5.6,21.1,0.9,6560,0.8,92.9,46.6,16.6,93527,50.5,49.5,7.1,30.8,96.9,5.3,1000
908,25021410300,25,21,4634,6.9,13.6,5.7,4634,2.7,84.3,52.5,28.3,106061,49.6,50.4,2.5,41.1,85.9,10.4,2154
909,25021410400,25,21,6254,5.8,15.2,9.7,6254,2.1,84.9,48.5,13.2,91769,46.4,53.6,4.3,33.4,89.2,7.7,1405
910,25021411100,25,21,8176,4.5,16.4,3.8,8176,2.4,84.7,49,19.3,99083,48.8,51.2,1.7,35,90.9,8.5,1603
911,25021411200,25,21,7075,2.8,13.5,2.6,7075,6.8,86.3,56.1,10.3,117407,49.5,50.5,4.3,31.7,88.8,8.3,1409
912,25021411301,25,21,5804,3,20.8,0,5804,1.6,93.3,54.1,17.9,118365,46,54,2,37.4,87.6,8.9,
913,25021411302,25,21,3905,3.6,15.4,1.7,3905,7.7,83.5,50.2,20.7,101781,53.4,46.6,3.9,34.6,84.9,13.5,1392
914,25021412100,25,21,6702,3,18.3,0,6702,7.7,88.7,70.7,15.9,151771,48.9,51.1,2.2,36.1,86.8,9.2,1164
915,25021412200,25,21,3812,4.8,25.6,0.1,3812,6.8,89.5,73.1,18.5,131111,47.6,52.4,1.9,33.9,87,10.2,1739
916,25021412300,25,21,5083,3.5,16,0.8,5083,7.8,86.5,68.1,7.9,142692,49.2,50.8,1.4,31.2,76.6,19.6,1882
917,25021413100,25,21,5491,5.4,19,4.4,5491,3.8,81,43.5,31,84554,46.6,53.4,7.4,31.1,81.5,15.2,1138
918,25021413200,25,21,6418,2.1,22.6,2.3,6418,5.2,87.8,36.9,24.6,68780,44.6,55.4,19.1,31.2,82.7,16.3,845
919,25021413300,25,21,4868,8.2,18.3,2.4,4868,5.5,88.5,56.8,40.7,111150,48.2,51.8,3.3,30.4,85.9,12.2,1617
920,25021413401,25,21,3028,2.9,18,7,3028,0,84.3,49,25.9,78250,50.1,49.9,3.7,35.1,84.1,13.3,1293
921,25021413402,25,21,4785,4.8,11.5,9.1,4785,17,61.4,64.8,32.8,89799,51.6,48.4,4.5,32.9,73.1,22.8,1706
922,25021413500,25,21,4531,5.7,12.7,10.7,4531,9.7,68.9,34.4,23.7,90797,48.6,51.4,6.8,31.3,66.9,24.1,1575
923,25021414100,25,21,5638,3.8,15.4,3.5,5638,16.8,69.3,65.1,7.2,122096,47.6,52.4,2,38.1,73.2,21.3,2100
924,25021414200,25,21,7399,3,14.8,1.8,7399,17.1,76.3,83.4,18.2,173889,49.3,50.7,0.7,42.5,70.4,23.8,2250
925,25021414300,25,21,5208,5.1,15.1,3.4,5208,11.3,81,70.5,19.4,106811,48.8,51.2,3.8,36.9,74.5,18.9,1151
926,25021415101,25,21,4856,5.6,17.1,4.8,4856,8.8,77.6,58,22.4,117750,47.1,52.9,3.9,34.8,81.7,15,1766
927,25021415102,25,21,8358,3.4,15.7,6.5,8358,6.9,78.2,55.7,22.7,81237,48.6,51.4,7.2,37.8,83.1,16.6,1454
928,25021415200,25,21,5744,3.2,20,9.3,5744,6.1,79.6,53.8,12.8,81927,43,57,8.5,32.1,85.7,14.6,1666
